# Time, Detrended Flux
8.905881941203493625e+03,1.624658131508249781e-03
8.905882524652872235e+03,-1.190115870355334948e-04
8.905883101620245725e+03,-9.989802988399354433e-04
8.905883680092636496e+03,-1.106043784006915942e-03
8.905884279629681259e+03,8.233997640474388646e-04
8.905884960532188416e+03,2.353392250994401635e-03
8.905885650925803930e+03,1.313893695499501746e-03
8.905886346296407282e+03,9.738190795818280066e-04
8.905887038888875395e+03,3.225421627721658524e-04
8.905887732291594148e+03,-7.522518827742796788e-04
8.905888432754669338e+03,-5.966147097804519461e-04
8.905889121064916253e+03,-2.361539837722137491e-03
8.905889818749856204e+03,1.317686531719930443e-03
8.905890511226840317e+03,-1.560269875806818973e-03
8.905891202314756811e+03,1.082944060887269799e-03
8.905891903472132981e+03,-1.603860371892862346e-03
8.905892596180550754e+03,1.525185659552841244e-03
8.905893289467785507e+03,-1.442763686735348827e-03
8.905893987731542438e+03,-7.922636422643680731e-04
8.905894674537237734e+03,-1.706257191504079174e-03
8.905895373495295644e+03,-7.055738868746441739e-04
8.905896068402566016e+03,-2.281859700332899976e-03
8.905896763194352388e+03,7.382261275472590256e-04
8.905897457060404122e+03,-3.667991596404407417e-03
8.905898150463122874e+03,-2.463111776561777155e-03
8.905898845254443586e+03,-1.754893747598851306e-03
8.905899541319347918e+03,1.634529523959482589e-04
8.905900233217515051e+03,-2.634248155441998307e-04
8.905900927083566785e+03,-5.451383858188219023e-04
8.905901622685138136e+03,-2.560800039446142762e-03
8.905902315509039909e+03,7.573761044787907792e-04
8.905902999999932945e+03,-2.133242568318927113e-03
8.905903705671429634e+03,3.701665389631569880e-03
8.905904400462750345e+03,5.143084963386002073e-04
8.905905095717404038e+03,2.688256157841628635e-03
8.915202716877036437e+03,6.875091552990264532e-04
8.915203297548279807e+03,5.223421212674494996e-04
8.915203878219523176e+03,1.219073342062948484e-03
8.915204458080515906e+03,-1.463086645251410189e-04
8.915205053913690790e+03,-2.200764687575351708e-03
8.915205625789058104e+03,1.641708448299916689e-03
8.915206202872381255e+03,1.245165747197796158e-03
8.915206781344306364e+03,-2.370365628600046293e-04
