Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0243+4755,02430187+4755512,438189026151353216,40.7582715,47.9309092,,
Sp0244-3548,02441019-3548036,5049878716772823552,41.0425911,-35.8010471,,
Sp0246+1625,02463486+1625115,33732162042339072,41.6444899,16.4195029,,
Sp0248-1651,02484100-1651216,5156623295621846016,42.1708225,-16.8561424,,
Sp0249-2147,02495798-2147267,5079320515724161152,42.4917054,-21.7907728,,
Sp0251+0047,02511327+0047364,2499082040356574848,42.8052308,0.7934508,,
Sp0252+0056,02522628+0056223,2499091523644792832,43.1095896,0.9396152,,
Sp0253+1652,02530084+1652532,35227046884571776,43.2543788,16.88129,,
Sp0253+2713,02532028+2713332,116297651268418304,43.3349728,27.2259741,,
Sp0253-2336,02532721-2336579,5076670520902556544,43.3634939,-23.6160788,,
Sp0254-1934,02540582-1934523,5128049359237940224,43.5242651,-19.5811729,,
Sp0255-4700,02550357-4700509,4752399493622045696,43.7674256,-47.0142628,,
Sp0257-3105,02572581-3105523,5052876333365036928,44.3581018,-31.0978307,,
Sp0257+5253,02573574+5253131,441131353629184384,44.3987402,52.8869721,,
Sp0257+4111,02575455+4111324,144071108826683392,44.4778429,41.1922802,,
Sp0259-4421,02593586-4421206,4755271005677102208,44.8998369,-44.3556938,,
Sp0259+2254,02594471+2254443,109888804147448832,44.936306,22.9123165,,
Sp0304-2435,03043226-2435136,5074762692133598848,46.1343917,-24.5871226,,
Sp0306-2647,03060171-2647433,5072067381112863104,46.5071966,-26.7954758,,
Sp0306-3647,03061159-3647528,5047423236725995136,46.5481457,-36.7980146,,
Sp0307+5719,03071239+5719367,460257255316125440,46.8025047,57.3268416,,
Sp0309-3658,03091180-3658331,5046632275547349888,47.2995632,-36.9758656,,
Sp0309-1354,03093359-1354243,5156148920778713088,47.3899815,-13.9065903,,
Sp0310+0726,03100053+0726506,13533892921879936,47.5021133,7.4473617,,
Sp0311-3239,03114241-3239449,5057544756654464256,47.9268358,-32.6624562,,
Sp0314+1603,03140344+1603056,31235033696866688,48.5142992,16.051521,,
Sp0314-4623,03143304-4623400,4750974938867962880,48.6374457,-46.3944965,,
Sp0315+8122,03155850+8122453,568406902646099328,48.996896,81.3792666,,
Sp0316-2848,03164512-2848521,5058664471807949952,49.1881558,-28.8144915,,
Sp0319+4848,03195198+4848225,435616199005050240,49.9660569,48.8062388,,
Sp0320-0446,03202839-0446358,5182151481717042944,50.1181615,-4.776783,,
Sp0320+1854,03205965+1854233,56252256123908096,50.2488814,18.9063256,,
Sp0321+3847,03212992+3847294,235505877319305088,50.3744939,38.7914997,,
Sp0323-4304,03234738-4304490,4847994814111309952,50.9473184,-43.0803808,,
Sp0324-5410,03244002-5410063,4734086332891794560,51.1667977,-54.1684352,,
Sp0325-8159,03251452-8159174,4619083227718289664,51.3153313,-81.9881808,,
Sp0325+1412,03252912+1412333,41966709564899840,51.371284,14.209205,,
Sp0325-0551,03254346-0551105,5169818362867643904,51.4312091,-5.8529328,,
Sp0326-2443,03260478-2443343,5086024581717191808,51.5200072,-24.7262601,,
Sp0326-4236,03263278-4236083,4849342467474991488,51.6369952,-42.6023164,,
Sp0326+1919,03264453+1919309,57744155965790720,51.6857348,19.3252417,,
Sp0328+1129,03283463+1129515,16386404041502592,52.1443971,11.4976922,,
Sp0329+3304,03290655+3304103,124843738541698944,52.2774032,33.0695566,,
Sp0330-0025,03303511-0025346,3264130653394056320,52.6464404,-0.4263746,,
Sp0330+3146,03305571+3146272,121447763732821120,52.7323957,31.7742518,,
Sp0331-3042,03313025-3042383,5055805741577757824,52.8761044,-30.7107841,,
Sp0332-2317,03320043-2317496,5086590967645571584,53.0018378,-23.2970701,,
Sp0334+3740,03343339+3740019,222804628232689792,53.63887,37.6672275,,
Sp0335+0658,03354535+0658058,3277801633082032384,53.9389593,6.9683192,,
Sp0338-5435,03382469-5435280,4732291624973484928,54.6026649,-54.5911291,,
Sp0339-3525,03393521-3525440,4860376345833699840,54.8971877,-35.4287857,,
Sp0340-3649,03401326-3649082,4859959115530290304,55.0552454,-36.8189228,,
Sp0341+4741,03414128+4741437,248555912114736512,55.4225593,47.6954547,,
Sp0342+4629,03421129+4629365,247887099802005504,55.5477547,46.4934841,,
Sp0344+0111,03440892+0111251,3269943938874146688,56.0371406,1.1903009,,
Sp0345+2540,03454316+2540233,69927191475070080,56.4297907,25.6731242,,
Sp0346-0218,03461215-0218271,3250289726147347968,56.5507428,-2.3077989,,
Sp0346+6236,03464439+6236051,487032317657766144,56.6849731,62.6013965,,
Sp0347-1814,03470104-1814004,5107303911284277504,56.7542668,-18.2334139,,
Sp0348+1126,03480667+1126178,36685828231324160,57.0277362,11.4383436,,
Sp0351-0052,03510004-0052452,3257243312560240000,57.750114,-0.8791442,,
Sp0351-1751,03512352-1751113,5107660526713822976,57.8479978,-17.853174,,
Sp0352+0210,03521086+0210479,3270388416449237760,58.0452588,2.1800005,,
Sp0352-5955,03524285-5955241,4680959790759112320,58.1791694,-59.9233634,,
Sp0354+2316,03540135+2316339,65638443294980224,58.5058555,23.2760573,,
Sp0355+1439,03552014+1439297,39612036694609152,58.834112,14.6582216,,
Sp0355+0237,03554834+0237559,3271885195372201728,58.9513925,2.6322033,,
Sp0356+4047,03563188+4047192,230134866095693184,59.1327813,40.7886818,,
Sp0357+1529,03570493+1529270,40091256260676736,59.2706897,15.4906571,,
Sp0357-1249,03574089-1249503,5111481883672140800,59.4204144,-12.8305486,,
Sp0358+3003,03582988+3003551,167563995820376448,59.6247201,30.0652617,,
Sp0358+2710,03585048+2710338,163571119344300928,59.7104482,27.1760663,,
Sp0400-1913,04000875-1913505,5094485220612594432,60.0364429,-19.2308859,,
Sp0401+4327,04010677+4327519,231618966280159360,60.2781051,43.4644436,,
Sp0401+2849,04013766+2849529,167202325215063168,60.4063552,28.8313088,,
Sp0403+2616,04030752+2616126,163267138742006912,60.7818561,26.2698854,,
Sp0404+4127,04041807+4127398,230409022449384576,61.0752207,41.4610203,,
Sp0407-1552,04070400-1552386,5097649408917399680,61.7667042,-15.8773949,,
Sp0408+0742,04081032+0742494,3298378207219150208,62.0430548,7.7137385,,
Sp0408-1450,04082905-1450334,5098050661942146816,62.1211333,-14.8426679,,
Sp0410-1459,04103617-1459269,3176447590378019072,62.6508244,-14.9908017,,
Sp0410+1304,04103976+1304156,3305248917940526208,62.6656993,13.0710283,,
Sp0413+3709,04134574+3709087,177700805837431296,63.4411614,37.1525031,,
Sp0416-5935,04160640-5935386,4678628654309752576,64.0271978,-59.5940445,,
Sp0417+1634,04172478+1634364,3312361070249018496,64.3533413,16.5767537,,
Sp0417-0800,04173745-0800007,3192982561632526208,64.4062433,-8.0001664,,
Sp0417-2129,04174743-2129191,5091393840591018240,64.4477185,-21.4886372,,
Sp0419+4233,04195212+4233304,229155579195699456,64.9680305,42.5584518,,
Sp0422-3606,04222058-3606079,4869246209213679872,65.5860133,-36.1021773,,
Sp0423-0414,04234858-0414035,3203124697405667712,65.9524286,-4.23423,,
Sp0424+2402,04245748+2402016,149242249454230144,66.2395202,24.0337906,,
Sp0426+0336,04261992+0336359,3280675417175220224,66.5830844,3.6100484,,
