# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.905746761227026582e+03 9.960223177257394589e-01 1.925410908360411207e-03 -1.279492802954999009e+00 -4.290854273806058994e-01 6.128221492381768165e+00 6.128221492381768165e+00 6.128221492381768165e+00 5.642303283907965579e+02 1.542078569639999897e+00 4.000000000000000000e+01
8.905747455786913633e+03 9.935246405323036045e-01 1.930281101030038122e-03 6.666735619118410172e-01 -6.108197321296786331e-02 5.556609810566190966e+00 5.556609810566190966e+00 5.556609810566190966e+00 5.436907531530184770e+02 1.535008953640000007e+00 4.000000000000000000e+01
8.905748149884399027e+03 9.958797616135213193e-01 1.926755222792976173e-03 -1.323434351013119958e-01 -4.915638010526606205e-01 5.508400888319203048e+00 5.508400888319203048e+00 5.508400888319203048e+00 5.355740718484551053e+02 1.527996188039999925e+00 4.000000000000000000e+01
8.905748841203749180e+03 1.001852972853649604e+00 1.922537480985420967e-03 -9.952814846783239813e-03 -7.898040631798961542e-01 6.052037804144035249e+00 6.052037804144035249e+00 6.052037804144035249e+00 5.400721589800149331e+02 1.521036215030000083e+00 4.000000000000000000e+01
8.905749540393706411e+03 9.969016371618988348e-01 1.905635383264669492e-03 -3.082504433210652151e-01 -7.798941884691171778e-01 6.821559457120544678e+00 6.821559457120544678e+00 6.821559457120544678e+00 5.475722287479318311e+02 1.514193744119999963e+00 4.000000000000000000e+01
8.905750233796425164e+03 9.960852984489143580e-01 1.926765933775799727e-03 -1.261396251591518913e-01 3.686657482015858189e-01 5.178289845697561233e+00 5.178289845697561233e+00 5.178289845697561233e+00 5.519138457716776429e+02 1.507410756070000080e+00 4.000000000000000000e+01
8.905750931249931455e+03 9.954573733722428264e-01 1.924624693811648321e-03 3.506437914285036317e-02 -1.305075483156208915e-01 5.213443737196072902e+00 5.213443737196072902e+00 5.213443737196072902e+00 5.482707139235236582e+02 1.500770702869999917e+00 4.000000000000000000e+01
8.905751622453797609e+03 9.938775303810440942e-01 1.923309532214513779e-03 3.842096289650059199e-02 -2.958901154657954113e-01 5.095845392753713732e+00 5.095845392753713732e+00 5.095845392753713732e+00 5.419404061210021837e+02 1.494177054889999967e+00 4.000000000000000000e+01
8.905752317245583981e+03 9.973918767196482404e-01 1.916964129934509067e-03 -2.321865286246284077e-01 -3.734411944428844277e-01 5.669966807945799658e+00 5.669966807945799658e+00 5.669966807945799658e+00 5.310986315823572568e+02 1.487657575789999909e+00 4.000000000000000000e+01
8.905753011342603713e+03 9.978071775438407398e-01 1.916292104223422206e-03 -9.478597417086094545e-02 -1.041086278396742948e+00 5.408815157564395903e+00 5.408815157564395903e+00 5.408815157564395903e+00 5.232593026535878380e+02 1.481258523279999961e+00 4.000000000000000000e+01
